Org Name,Endpoint,Audience,Route
Arthritis Health,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/76467,Provider,Direct
ASC Ortho Management Company  LLC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10065948,Provider,Direct
Ashchi Heart and Vascular Center PA,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10083716,Provider,Direct
Asheville Neurology Specialists,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/57199,Provider,Direct
Ashfaq Kudia MD,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/77927,Provider,Direct
Ashutosh S Lohe MD,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10062555,Provider,Direct
Aspen Medical Care,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10036548,Provider,Direct
Aspire Allergy & Sinus,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/0010141,Provider,Direct
Assoc in Physical Medicine and Rehab,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/61275,Provider,Direct
Assoc. In Ortho & Sports Med,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10041609,Provider,Direct
Associated Foot Ankle Specialist of Ohio,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/1700145P,Provider,Direct
Associated Gastroenterology Consultants,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10011068,Provider,Direct
Associated Internists of Ahwatukee  PC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/58079,Provider,Direct
Associates for Psychiatric Services,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/0010390,Provider,Direct
Associates In Foot  Ankle Surgery,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/9683,Provider,Direct
Associates In Gastroenterology,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10036152,Provider,Direct
associates in Neurology PC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10013460,Provider,Direct
Asthma and Allergy Clinic of Marin and SF Inc,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/73649,Provider,Direct
Atlanta Colon  Rectal Surgery,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10065609,Provider,Direct
Atlanta Neuroscience Institute  Inc,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10026790,Provider,Direct
Atlantic Ob/Gyn Associates,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/76113,Provider,Direct
Atlantic Orthopaedic Specialists,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10005594,Provider,Direct
Atlantic Orthopaedics,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10042915,Provider,Direct
Auburn Pediatric and Adult Med,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10045454,Provider,Direct
Auburn University,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/11065841,Provider,Direct
Auburn University Medical Clinic,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10043685,Provider,Direct
Augusta Gastrointestinal,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10052005,Provider,Direct
Augusta Urology Associates Pc,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/11587844,Provider,Direct
Avila Holdings LLC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10215809,Provider,Direct
Avon Medical Professionals LLC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/9263,Provider,Direct
Ayden Medical Group,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/74395,Provider,Direct
Azalea Gynecology,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10024528,Provider,Direct
Babra Saeed Md,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/62555,Provider,Direct
Bac H Nguyen Md,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/75418,Provider,Direct
Baha Abuesheh  MD,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10033421,Provider,Direct
Bahri Orthopaedic & Sports Med Clinic Pa,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/0900772,Provider,Direct
BakerGilmour Cardiology,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10057297,Provider,Direct
Baltimore Neurosurgery And Spine Center,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/74163,Provider,Direct
Bao Pham Do,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10035735,Provider,Direct
Barbara A Cavallaro MD,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10368851,Provider,Direct
Barbara A Cavallaro MD,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10368850,Provider,Direct
Barbara A Cavallaro MD,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/77179,Provider,Direct
Barry S Tatar MD LLC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10004738,Provider,Direct
Barstow Family Care,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10035684,Provider,Direct
Bashar Alzahabi Md,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/76557,Provider,Direct
Batesville Medical Specialties,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/57412,Provider,Direct
Bay Pediatric Clinic Pc,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/74850,Provider,Direct
Bayside Family & Sports Medicine,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/57246,Provider,Direct
BC Muthappa MD PA,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10043242,Provider,Direct
Be Well Primary Health Care Center  LLC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10074070,Provider,Direct
Beaumont Bone & Joint,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10010749,Provider,Direct
Beauregard Family Medical Center,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10077327,Provider,Direct
Beauregard Physician Group Llc,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10076808,Provider,Direct
Beauregard Urgent Care,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10077333,Provider,Direct
Bedford Commons OB GYN,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10036838,Provider,Direct
Bedford Surgical,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/0011059S,Provider,Direct
Behavioral Health,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10372845,Provider,Direct
Bellefonte Medical Clinic,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/74583,Provider,Direct
Belleville Pediatrics,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/75557,Provider,Direct
Bellingham Asthma Allergy & Immunology,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/0009783,Provider,Direct
Beloit Medical Center,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10058326,Provider,Direct
Benny J Sanchez Md,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/75914,Provider,Direct
Bernard Davidoff  MD  PA,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10068630,Provider,Direct
Bernard Ong  M.D.  Pc,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10048931,Provider,Direct
Bethany Medical Center,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/70354,Provider,Direct
Beverly Hills Pediatrics,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10656,Provider,Direct
Bhatti Gastroenterology Consultants PA,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10086571,Provider,Direct
Biltmore Family Physicians,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/72337,Provider,Direct
Biltmore Medical Associates,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10033074,Provider,Direct
Birmingham Gastroenterology Associates  PC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10011961,Provider,Direct
Birmingham Urgent Care,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/75346,Provider,Direct
Blake Frieden MD  PA,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/58074,Provider,Direct
Bloomfield Health,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/58277,Provider,Direct
Blount Senior Care Partners,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10063547,Provider,Direct
Blue Ridge Ent & Plastic Surgery Inc,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10041765,Provider,Direct
Blue Ridge Pediatric & Adolescent Medicine  Inc.,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10027569,Provider,Direct
Bluefied Pediatric Cardiology,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/75246,Provider,Direct
Bone & Joint Center,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10029141,Provider,Direct
Border Pain Institute,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10714851,Provider,Direct
Bowling Orthopaedics,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/72821,Provider,Direct
Brain And Spine LLC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/0000070,Provider,Direct
Branko Banar,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10033008,Provider,Direct
Breast Care Specialists  Llc,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10008998,Provider,Direct
Brenda S Waller Md,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/0010021,Provider,Direct
BREVARD SKIN & CANCER CENTER,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10030494,Provider,Direct
Brewster Medical Associates,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/73807,Provider,Direct
Brian Le Do PC dba Las Vegas Spine and Pain Center,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10084853,Provider,Direct
Bristol Gynecology and Obstetrics,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/77079,Provider,Direct
Brito Health Care,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/74631,Provider,Direct
Brito Health Care,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/74189,Provider,Direct
Broad Street Clinic Foundation,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/77161,Provider,Direct
Bronson Lakeview Hospital,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/58196,Provider,Direct
Bronson Methodist Hospital,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/57040,Provider,Direct
Broward Family Medical Group Llc,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/74216,Provider,Direct
Brown Fertility,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10239843,Provider,Direct
Buchanan Health Center,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/75687,Provider,Direct
Buckles Family Health Care,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/56146,Provider,Direct
Bullit County Family Practitioners,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10062806,Provider,Direct
Bun Siu Co MD SC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10088801,Provider,Direct
Burgess Health Center,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10036904,Provider,Direct
Burick Ctr For HealthWellness,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/60467,Provider,Direct
Burlington County Orthopedic Specialists,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10054117,Provider,Direct
Cadillac Family Physicians,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/57404,Provider,Direct
Caduceus Corporation,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/9857,Provider,Direct
Cahaba Valley Surgical Group Pc,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10856850,Provider,Direct
California Case Management Experts,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/11118841,Provider,Direct
Callahan and Le,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10071726,Provider,Direct
Camino Health Center,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10043885,Provider,Direct
Cape Fear Family Medical Care  P.A.,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/0006058,Provider,Direct
Cape Girardeau Surgical Clinic,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/11128842,Provider,Direct
Cape Girardeau Urology Associates,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/11144841,Provider,Direct
Cape Regional Health Enterprise,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10042117,Provider,Direct
Capital Area Pediatrics,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/0010599,Provider,Direct
Capital Family Physicians  P.A.,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/0008817,Provider,Direct
Capital Urological Associates,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10035805,Provider,Direct
Capitol Pediatrics,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/57142,Provider,Direct
Capo and Fitzgerald Physicians LLC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10079015,Provider,Direct
Cardinal Pediatrics  PLLC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10035249,Provider,Direct
Cardio Medical Consultants,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/72398,Provider,Direct
Cardiology & Internal Medicine,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/0008994,Provider,Direct
Cardiology & Medicine Assoc,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10026345,Provider,Direct
Cardiology Assoc Of Birmingham,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/55944,Provider,Direct
Cardiology Consultants of Michigan  PC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/0004152,Provider,Direct
Cardiology Consultants Of South Georgia,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10036159,Provider,Direct
Cardiology of Paducah,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/77141,Provider,Direct
Cardiology PC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10019983,Provider,Direct
Cardiology Physicians,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10420,Provider,Direct
CardioMetabolic Health,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/0011291,Provider,Direct
Cardiothoracic And Vascular Surgical Associates,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10015374,Provider,Direct
Cardiovascular Consultants Medical Group,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/75951,Provider,Direct
Cardiovascular Consultants PC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/55946,Provider,Direct
Cardiovascular Consultants  PC,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10043002,Provider,Direct
Cardiovascular Solutions of Central MS,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10088255,Provider,Direct
Care Dimensions Inc,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10059750,Provider,Direct
Care Point Health & Wellness Center,https://fhir.fhirpoint.open.allscripts.com/fhirroute/fhir/10112684,Provider,Direct
